계정 이름,트윗 내용,리포스트 수,답글 제한 여부,작성한 포스트 수,전처리된 트윗,라벨링,전처리된 트윗_문자열,예측된_라벨링
신상 알려주는 계정,"아침햇살이 25주년 기념으로 옥수수맛, 고구맛을 출시한다는 달짝지근꼬숩꾸숩한 소식 전해드립니다.",7600,0,531,"['아침햇살', '주년', '기념', '옥수수', '출시', '달짝', '꼬숩꾸숩', '소식', '해드리다']",1,아침햇살 주년 기념 옥수수 출시 달짝 꼬숩꾸숩 소식 해드리다,
신상 알려주는 계정,웰치스 제로 신상....체리스트로베리,6700,0,531,"['웰치스', '제로', '신상', '체리', '스트로베리']",1,웰치스 제로 신상 체리 스트로베리,
신상 알려주는 계정,"아사히 신상 미래의레몬사와
뚜껑 열면 바로 위에 진짜 생레몬슬라이스가 올라옴!
6/11 일본 정식 출시 예정 이후 국내 출시는 미정!",6000,0,531,"['아사히', '신상', '미래', '레몬', '사오다', '뚜껑', '열다', '바로', '진짜', '레몬', '라이스', '올라오다', '일본', '정식', '출시', '예정', '이후', '국내', '출시', '미정']",1,아사히 신상 미래 레몬 사오다 뚜껑 열다 바로 진짜 레몬 라이스 올라오다 일본 정식 출시 예정 이후 국내 출시 미정,
신상 알려주는 계정,"엽기떡볶이 최대 6천원 할인 떴음!! 
4월 9일~ 14일 까지 
엽떡 앱 쿠폰 3천원 + 방문포장시 3천원 추가 할인

출처 : 오늘 뭐 먹지?",9000,0,531,"['엽기', '떡볶이', '최대', '천원', '할인', '뜨다', '엽떡', '쿠폰', '천원', '방문', '포장', '천원', '추가', '할인', '출처', '오늘', '먹다']",1,엽기 떡볶이 최대 천원 할인 뜨다 엽떡 쿠폰 천원 방문 포장 천원 추가 할인 출처 오늘 먹다,
신상 알려주는 계정,"갓뚜기 신상.... 순후추 순대국밥 실사
아니 아니 진짜 내용물부터 미친거아님?
든든한 국밥 한끼 얼큰하게 먹을수있음 
자취생 필수 식단이 될 것 같은..넘 야무지다",4900,0,531,"['뚜기', '신상', '후추', '순대', '국밥', '실사', '아니다', '아니다', '진짜', '내용물', '미치다', '아니다', '든든하다', '국밥', '얼큰하다', '먹다', '자취', '필수', '식단', '되다', '같다', '넘다', '야무지다']",1,뚜기 신상 후추 순대 국밥 실사 아니다 아니다 진짜 내용물 미치다 아니다 든든하다 국밥 얼큰하다 먹다 자취 필수 식단 되다 같다 넘다 야무지다,
신상 알려주는 계정,"일본여행 가면 꼭 먹어볼 컵라면 추천 타래 ! 

출처 : insta@kk2_magazine",3100,0,531,"['일본여행', '가면', '먹다', '컵라면', '추천', '타래', '출처']",1,일본여행 가면 먹다 컵라면 추천 타래 출처,
신상 알려주는 계정,속보 !!! 돈키호테 제품들 쿠팡 로켓직구 입점 되었다는 미친 소식 전해드리며....,5800,0,531,"['속보', '돈키호테', '제품', '쿠팡', '로켓', '직구', '입점', '되어다', '미치다', '소식', '해드리다']",1,속보 돈키호테 제품 쿠팡 로켓 직구 입점 되어다 미치다 소식 해드리다,
신상 알려주는 계정,와 미친...해태에서 폴라포 매실맛 만들고있음 매실맛이야 매실맛...,7300,0,531,"['오다', '미치다', '해태', '폴라', '매실', '만들다', '매실', '이야', '매실']",1,오다 미치다 해태 폴라 매실 만들다 매실 이야 매실,
신상 알려주는 계정,"그토록 갈망하던 전세계 가성비 1위 와인이
세븐일레븐에 재입고 되었다길래 달려가봤읍니다,,
와인에 딸케 조합 너무 기대가 되...",2600,0,531,"['그토록', '갈망', '전세계', '가성', '와인', '세븐일레븐', '입다', '되어다', '달려가다', '보다', '와인', '딸케', '조합', '너무', '기대', '되다']",1,그토록 갈망 전세계 가성 와인 세븐일레븐 입다 되어다 달려가다 보다 와인 딸케 조합 너무 기대 되다,
신상 알려주는 계정,"성시경이 극찬한 전세계 가성비 1위 와인
산미는 좀 있는데 목넘김이 엄청 부드러워서
화이트와인 안 좋아하는 내가 감탄할 정도;
와인병에 그려진 앙리 마티스 그림도 너무 고급져..
또 마시고 싶어서 사러 갔더니 전국 품절ㅜ
+ 11월말 세븐일레븐 재입고 예정!",2100,0,531,"['성시경', '극찬', '전세계', '가성', '와인', '산미', '넘김', '엄청', '부드럽다', '화이트와인', '좋아하다', '감탄', '정도', '와인', '그려지다', '앙리', '마티스', '그림', '너무', '고급', '지다', '말다', '싶다', '사르다', '가다', '전국', '품절', '월말', '세븐일레븐', '입다', '예정']",1,성시경 극찬 전세계 가성 와인 산미 넘김 엄청 부드럽다 화이트와인 좋아하다 감탄 정도 와인 그려지다 앙리 마티스 그림 너무 고급 지다 말다 싶다 사르다 가다 전국 품절 월말 세븐일레븐 입다 예정,
신상 알려주는 계정,"일본 여행 가시는분들 필독.... 

4월 22일부터 일본 전국 편의점에 '비스트로 바닐라'
바닐라 아이스크림과 캐러멜 소스를 혼합시킨....
제품이 출시된다고!! 현지에서도 난리났음니다",5100,0,531,"['일본', '여행', '가시다', '필독', '일본', '전국', '편의점', '비스트', '바닐라', '바닐라', '아이스크림', '캐러멜', '소스', '혼합', '시키다', '제품', '출시', '되다', '현지', '에서도', '난리', '나다']",1,일본 여행 가시다 필독 일본 전국 편의점 비스트 바닐라 바닐라 아이스크림 캐러멜 소스 혼합 시키다 제품 출시 되다 현지 에서도 난리 나다,
신상 알려주는 계정,"아이셔 신상 아이셔츄 출시!! 
레몬&라임 /포도&샤인머스캣 두 가지 맛
츄잉캔디 안에 샤워필링 들어가있음 
동네 마트나 슈퍼에서 살 수 있어요!",5500,0,531,"['신상', '아이', '셔츄', '출시', '레몬라임', '포도', '샤인', '스캣', '가지', '츄잉', '캔디', '샤워', '필링', '들어가다', '동네', '마트', '슈퍼']",1,신상 아이 셔츄 출시 레몬라임 포도 샤인 스캣 가지 츄잉 캔디 샤워 필링 들어가다 동네 마트 슈퍼,
신상 알려주는 계정,엑설런트 딸기 & 소다 맛 나온거 알고 트위터 하시나요,9800,0,531,"['엑설런트', '딸기', '나오다', '트위터']",1,엑설런트 딸기 나오다 트위터,
신상 알려주는 계정,"8월에만 판매하는 스타벅스 한정메뉴 
자몽허니레몬블렌디드 ""자허블"" 이
스무디 버전으로 출시했어요 상큼달달 걍 여름그자체에요..",8700,0,531,"['에만', '판매', '스타벅스', '한정', '메뉴', '자몽', '허니', '레몬', '블렌디드', '허블', '스무디', '버전', '출시', '상큼', '달달', '여름', '자체']",1,에만 판매 스타벅스 한정 메뉴 자몽 허니 레몬 블렌디드 허블 스무디 버전 출시 상큼 달달 여름 자체,
신상 알려주는 계정,"엘지전자에서 이번에 새로 또 내놓은 신박한 제품

또 엄청난걸 만들어놓고 홍보 안하고 있음...",2900,0,531,"['엘지', '전자', '이번', '새롭다', '내놓다', '제품', '엄청나다', '만들다', '홍보', '하고']",1,엘지 전자 이번 새롭다 내놓다 제품 엄청나다 만들다 홍보 하고,
신상 알려주는 계정,성심당 신상 케이크 소식,2900,0,531,"['성심당', '신상', '케이크', '소식']",1,성심당 신상 케이크 소식,
신상 알려주는 계정,"스누피 하와이 한정 여름 신상 출시..
태닝했다구함 ㅠㅜㅜㅜ",2400,0,531,"['스누피', '하와이', '한정', '여름', '신상', '출시', '태닝', '구함']",1,스누피 하와이 한정 여름 신상 출시 태닝 구함,
신상 알려주는 계정,"아이폰 15 핑크 
예상 디자임 뜸
이대로 나오면 진짜 당장 살것임",11000,0,531,"['아이폰', '핑크', '예상', '자임', '뜨다', '나오다', '진짜', '당장', '살다']",1,아이폰 핑크 예상 자임 뜨다 나오다 진짜 당장 살다,
신상 알려주는 계정,"홍대 영감의샘터

정신 혼미해진다는 이찬혁 전시회 요약....",3400,0,531,"['홍대', '영감', '샘터', '정신', '혼미하다', '이찬혁', '전시회', '요약']",1,홍대 영감 샘터 정신 혼미하다 이찬혁 전시회 요약,
신상 알려주는 계정,"미란이를 모티브로 한 버거라고함....
어쩐지 햄버거 왼쪽 위에 볼록 튀어나왔다 했더니만",5400,0,531,"['미란', '모티브', '버거', '어쩐지', '햄버거', '왼쪽', '볼록', '튀어나오다']",1,미란 모티브 버거 어쩐지 햄버거 왼쪽 볼록 튀어나오다,
신상 알려주는 계정,"22일 (내일) 롯데리아 '통새우크런KIM버거'
신상 버거 출시.... 역대급 신메뉴 느낌이...",6300,0,531,"['내일', '롯데리아', '새우', '크런', '버거', '신상', '버거', '출시', '역대', '메뉴', '느낌']",1,내일 롯데리아 새우 크런 버거 신상 버거 출시 역대 메뉴 느낌,
신상 알려주는 계정,"허쉬 x 이디야 콜라보 신상 음료 3종 출시...

출처 : 오늘 뭐 먹지 ?",6700,0,531,"['허쉬', '이디야', '콜라보', '신상', '음료', '출시', '출처', '오늘', '먹다']",1,허쉬 이디야 콜라보 신상 음료 출시 출처 오늘 먹다,
신상 알려주는 계정,"봄 한정 신상 빙그레 ""딸기 붕어싸만코""",4300,0,531,"['한정', '신상', '빙그레', '딸기', '붕어싸만코']",1,한정 신상 빙그레 딸기 붕어싸만코,
신상 알려주는 계정,"투썸 신상 두부케이크 ""오트한모""
달달하고 꼬숩한 오트무스에 
꿀 뿌려 먹으면 맛있다고함! 
살짝 교도소 출소 두부 너낌이랄까",5400,0,531,"['투썸', '신상', '두부', '케이크', '달달', '하고', '꼬숩', '무스', '뿌리다', '먹다', '맛있다', '살짝', '교도소', '추다', '두부', '끄다']",1,투썸 신상 두부 케이크 달달 하고 꼬숩 무스 뿌리다 먹다 맛있다 살짝 교도소 추다 두부 끄다,
신상 알려주는 계정,"버거킹 신상 초코 설향 딸기 선데....가 나왔다는 달달한 소식 전해드리며. 

출처 : 오늘 뭐 먹지?",3500,0,531,"['버거킹', '신상', '초코', '설향', '딸기', '선데', '나오다', '달달', '소식', '해드리다', '출처', '오늘', '먹다']",1,버거킹 신상 초코 설향 딸기 선데 나오다 달달 소식 해드리다 출처 오늘 먹다,
신상 알려주는 계정,"환타 복숭아맛 국내 출시 된 거 알고 계신가요!! 
일본에서만 팔았었는데 한국에서도 드디어..
+롯데마트에서 살 수 있는데 현재 전량 품절..",2600,0,531,"['환타', '복숭아', '국내', '출시', '되다', '계시다', '일본', '에서만', '파다', '한국', '에서도', '드디어', '롯데', '마트', '현재', '전량', '품절']",1,환타 복숭아 국내 출시 되다 계시다 일본 에서만 파다 한국 에서도 드디어 롯데 마트 현재 전량 품절,
신상 알려주는 계정,폴바셋 말차 메뉴들이 바로 오늘 재출시 했다는 달콤쌉싸름한 소식 전해드리며...,3300,0,531,"['폴바', '말차', '메뉴', '바로', '오늘', '출시', '달콤', '쌉싸름하다', '소식', '해드리다']",1,폴바 말차 메뉴 바로 오늘 출시 달콤 쌉싸름하다 소식 해드리다,
신상 알려주는 계정,"컴포즈 대봑신상....하겐다즈 홀릭라떼... 

출처 : 오늘 뭐 먹지?",3800,0,531,"['포즈', '신상', '하겐다즈', '홀릭', '라떼', '출처', '오늘', '먹다']",1,포즈 신상 하겐다즈 홀릭 라떼 출처 오늘 먹다,
신상 알려주는 계정,다이소 메이크업 브러쉬중 최고 역작,1100,0,531,"['다이소', '메이크업', '브러쉬', '최고', '역작']",1,다이소 메이크업 브러쉬 최고 역작,
신상 알려주는 계정,미친...5월에 컴포즈 생초콜릿라떼 재출시 확정...,5300,0,531,"['미치다', '포즈', '생초콜릿', '라떼', '출시', '확정']",1,미치다 포즈 생초콜릿 라떼 출시 확정,
신상 알려주는 계정,"귀여운 곰돌이 인형으로 유명한 ""테디테일즈""
한국에서 최초로 3월 7일~13일 팝업 오픈해요..!
더현대 지하 2층 (3월 5일 까지 사전예약 가능)
시그니처 키링도 한국 최초 출시라고...!",3600,0,531,"['귀엽다', '곰돌이', '인형', '유명하다', '테디', '테일즈', '한국', '최초', '일일', '팝업', '오픈', '현대', '지하', '사전예약', '가능', '키링', '한국', '최초', '출시']",1,귀엽다 곰돌이 인형 유명하다 테디 테일즈 한국 최초 일일 팝업 오픈 현대 지하 사전예약 가능 키링 한국 최초 출시,
신상 알려주는 계정,"홈런볼 신상 바나나스플릿
미친거아님..? 혀에 닿자마자 녹는 겉 과자에
속에 초코랑 바나나 슈크림 가득들어간...아...",2000,0,531,"['홈런', '신상', '바나나', '스플릿', '미치다', '아니다', '닿다', '녹다', '과자', '초코', '바나나', '슈크림', '가득', '들어가다']",1,홈런 신상 바나나 스플릿 미치다 아니다 닿다 녹다 과자 초코 바나나 슈크림 가득 들어가다,
신상 알려주는 계정,내가 가고 싶어서 정리한 부산 디저트 가게 티래,959,0,531,"['가다', '싶다', '정리', '부산', '디저트', '가게']",1,가다 싶다 정리 부산 디저트 가게,
신상 알려주는 계정,"여러분 드디어 드디어!!! 불닭볶음탕면이
국내 마트와 편의점에 드디어 국내재출시...
더 이상 직구로 비싸게 안사먹어도된답니다",3000,0,531,"['여러분', '드디어', '드디어', '닭볶음탕', '국내', '마트', '편의점', '드디어', '국내', '출시', '이상', '직구', '비싸다', '사먹다', '되다']",1,여러분 드디어 드디어 닭볶음탕 국내 마트 편의점 드디어 국내 출시 이상 직구 비싸다 사먹다 되다,
신상 알려주는 계정,"무화과 제철시기라 꼭 드셔주세요

진심으로 트위터 레시피 중 단연 1위라고 자부함",530,0,531,"['무화과', '제철', '시기', '들다', '진심', '트위터', '레시피', '단연', '자부']",1,무화과 제철 시기 들다 진심 트위터 레시피 단연 자부,
신상 알려주는 계정,"베스킨라빈스 봄 시즌 한정 플레이버 
""아이스 메론빵"" 출시 했다는 소식 !! 
일본의 대표 디저트 메론빵을 아이스크림으로 구현했다고..",1700,0,531,"['베스킨라빈스', '시즌', '한정', '플레이', '아이스', '메론빵', '출시', '소식', '일본', '대표', '디저트', '메론빵', '아이스크림', '구현']",1,베스킨라빈스 시즌 한정 플레이 아이스 메론빵 출시 소식 일본 대표 디저트 메론빵 아이스크림 구현,
신상 알려주는 계정,"지금 세븐일레븐 편의점을 가시면 일본에서만 판매하던 ""복숭아맛 사케"" 를 살 수 있어요!

알코올 농도는 2% 알쓰들을 위한 술
요구르트나 탄산수 함께 먹어도 맛있다고",2400,0,531,"['지금', '세븐일레븐', '편의점', '가시', '일본', '에서만', '판매', '복숭아', '사케', '알코올', '농도', '쓰다', '들다', '요구르트', '탄산수', '함께', '먹다', '맛있다']",1,지금 세븐일레븐 편의점 가시 일본 에서만 판매 복숭아 사케 알코올 농도 쓰다 들다 요구르트 탄산수 함께 먹다 맛있다,
신상 알려주는 계정,"스타벅스 5월 신상 춘식이 프라푸치노 ㅋㅋㅋ
얼그레이 초코 프라푸치노에 춘식이가 올라감
초콜릿이라 잘근잘근 씹어먹어도 좋음!!!",1800,0,531,"['스타벅스', '신상', '추다', '식이', '프라푸치노', '얼그레이', '초코', '프라푸치노', '추다', '식이', '올라가다', '초콜릿', '이라', '잘근잘근', '씹다', '먹다', '좋다']",1,스타벅스 신상 추다 식이 프라푸치노 얼그레이 초코 프라푸치노 추다 식이 올라가다 초콜릿 이라 잘근잘근 씹다 먹다 좋다,
신상 알려주는 계정,단종되었던 공차 초코멜로스무디가 오늘부로 재출시 되었다는 달콤한 소식 전해드립니다,2800,0,531,"['단종', '되어다', '공차', '초코', '멜로', '스무디', '오늘', '부로', '출시', '되어다', '달콤하다', '소식', '해드리다']",1,단종 되어다 공차 초코 멜로 스무디 오늘 부로 출시 되어다 달콤하다 소식 해드리다,
신상 알려주는 계정,gs25 두바이 초콜릿 출시 미쳤다...,2000,0,531,"['두바이', '초콜릿', '출시', '미치다']",1,두바이 초콜릿 출시 미치다,
신상 알려주는 계정,"드디어....누가바 한입컷 미니버전으로 출시!! 
한 박스에 10개 들어있고 앉은 자리에서 다 먹을듯...",1000,0,531,"['드디어', '누가바', '입컷', '미니', '버전', '출시', '박스', '들다', '앉다', '자리', '먹다']",1,드디어 누가바 입컷 미니 버전 출시 박스 들다 앉다 자리 먹다,
신상 알려주는 계정,오늘부터 시작이래요 성심당 망고시루...,1600,0,531,"['오늘', '시작', '이래', '성심당', '망고', '시루']",1,오늘 시작 이래 성심당 망고 시루,
신상 알려주는 계정,"스킨푸드 50% 할인 기념 추천템 

<라이스 마스크 워시오프 11,000원 >

극 민감성에게는 비추! 진짜 팩 한번만 해도 하얗게 뽀얘지고 노페물 벗겨졌구나 느껴지는 팩.. 피부에 트러블 많은 분들은 따가울수도 있어서 조심해야하는데 그게 아니면 진짜 꼭 써보세요 미백+애기피부 됩니다 진심..",551,0,531,"['스킨푸드', '할인', '기념', '추천', '라이스', '마스크', '오프', '민감', '에게는', '비추다', '진짜', '한번', '해도', '하얗다', '뽀얘지다', '노페', '벗겨지다', '느껴지다', '피부', '트러블', '많다', '따갑다', '조심하다', '그게', '아니다', '진짜', '써다', '보다', '미백', '애기', '피부', '되다', '진심']",1,스킨푸드 할인 기념 추천 라이스 마스크 오프 민감 에게는 비추다 진짜 한번 해도 하얗다 뽀얘지다 노페 벗겨지다 느껴지다 피부 트러블 많다 따갑다 조심하다 그게 아니다 진짜 써다 보다 미백 애기 피부 되다 진심,
신상 알려주는 계정,"설빙 신상 출시 ! ""하겐다즈 초코설빙""
여태 나왔던 초코빙수중에 단연코 역대급이라고 자부함 진짜 개맛있으니까 드십쇼 예...",5200,0,531,"['설빙', '신상', '출시', '하겐다즈', '초코', '설빙', '여태', '나오다', '초코', '빙수', '단연', '역대', '이라고', '자부', '진짜', '개맛', '들다']",1,설빙 신상 출시 하겐다즈 초코 설빙 여태 나오다 초코 빙수 단연 역대 이라고 자부 진짜 개맛 들다,
신상 알려주는 계정,증상별 챙겨먹으면 좋은 영양제 추천 타래 !,674,0,531,"['증상', '챙기다', '먹다', '좋다', '양제', '추천', '타래']",1,증상 챙기다 먹다 좋다 양제 추천 타래,
신상 알려주는 계정,"농심에 쩝쩝박사가 있는게 분명하다
새우깡 야심작 먹태깡 출시
맥주안주로 이만한게 있을까싶음",1400,0,531,"['농심', '쩝쩝', '박사', '분명하다', '새우깡', '야심작', '먹다', '태깡', '출시', '맥주', '안주', '이만', '싶다']",1,농심 쩝쩝 박사 분명하다 새우깡 야심작 먹다 태깡 출시 맥주 안주 이만 싶다,
신상 알려주는 계정,"서면 롯데 백화점 마담떡집 (4/5~4/11)

앙꼬절편이 쫜득하니 역대급으로 맛있어요
씹을수록 단물이 죽죽 흘러나오는 꿀떡도 있구요
팝업 끝나기전에 꼭 가보세요 진짜 떡 러버들은
환장 할 수 밖에 없음... 저 비주얼을 보세요ㅠ",1200,0,531,"['서면', '롯데', '백화점', '마담', '떡집', '앙꼬절편', '쫜득하', '역대', '맛있다', '씹다', '단물', '죽죽', '흘러나오다', '꿀떡', '팝업', '끝나다', '가보다', '진짜', '러버', '밖에', '없다', '비주', '보다']",1,서면 롯데 백화점 마담 떡집 앙꼬절편 쫜득하 역대 맛있다 씹다 단물 죽죽 흘러나오다 꿀떡 팝업 끝나다 가보다 진짜 러버 밖에 없다 비주 보다,
신상 알려주는 계정,두파이 초콜릿 편의점에 드디어 출시….,1200,0,531,"['파이', '초콜릿', '편의점', '드디어', '출시']",1,파이 초콜릿 편의점 드디어 출시,
신상 알려주는 계정,"큰거온다... 이삭토스트 '프렌치토스트' 신메뉴 
아침에 입맛 없을 때 먹기 너무너무 좋을듯....",1300,0,531,"['크다', '오다', '이삭', '토스트', '프렌치토스트', '메뉴', '아침', '입맛', '없다', '먹기', '너무', '너무', '좋다']",1,크다 오다 이삭 토스트 프렌치토스트 메뉴 아침 입맛 없다 먹기 너무 너무 좋다,
신상 알려주는 계정,향수 추천 타래,451,0,531,"['향수', '추천', '타래']",1,향수 추천 타래,
신상 알려주는 계정,봄 맞이 투썸 신상 케이크 “체리블라썸 요거트 생크림“,1700,0,531,"['맞이', '투썸', '신상', '케이크', '체리', '블라썸', '요거트', '생크림']",1,맞이 투썸 신상 케이크 체리 블라썸 요거트 생크림,
