계정 이름,트윗 내용,리포스트 수,답글 제한 여부,작성한 포스트 수,전처리된 트윗,라벨링,전처리된 트윗_문자열,예측된_라벨링,0,1,ID
ට|니두,Joocyee X Chupa chups 쥬씨랑 츄파춥스! 저 하트 케이스 되게 마법소녀 같고 귀엽당ㅋㅋㅋ 궁금,845,0,1만,"['쥬씨', '츄파춥스', '하트', '케이스', '되게', '마법소녀', '같다', '귀엽다', '궁금']",0,쥬씨 츄파춥스 하트 케이스 되게마법소녀 같다 귀엽다궁금,0,939,939,@mymunge
ට|니두,편하고+백라인 옙븐 기준으로 샀던 브라탑 두개 소소추천.. 집오면 젤먼저 속옷부터 벗어야되는 사람인디 그냥 입고있어도 불편함 없음. 퀄은 그냥 가격값하고 무난쓰. 다른 컬러도 있음 / 프라이빗룩북,803,0,1만,"['편하다', '라인', '옙븐', '기준', '사다', '브라', '추천', '지다', '먼저', '속옷', '벗다', '되다', '사람인', '그냥', '입다', '불편하다', '없다', '그냥', '가격', '하고', '무난', '쓰다', '다른', '컬러', '프라이']",0,편하다 라인옙븐 기준사다 브라추천 지다먼저 속옷벗다 되다사람인 그냥입다 불편하다 없다 그냥 가격 하고 무난 쓰다 다른 컬러 프라이,0,939,939,@mymunge
ට|니두,"헉 저도... 이 빤쓰 트위터에서 보고 저렴하고 편할 것 같아서 샀었는데 아직도 잘 입고있다는... 색도 맘에 들고요... 바이럴이라고 오해받을까봐 아는 사람들한테만 얘기했었는데 서이님이 언급해주셔서 반갑다요,,",748,0,1만,"['빨다', '쓰다', '트위터', '보고', '저렴하다', '편하다', '같다', '사다', '아직도', '자다', '입다', '색도', '들다', '바이럴', '이라고', '오해', '받다', '알다', '사람', '한테', '얘기', '언급', '해주다', '반갑다']",0,빨다 쓰다트위터 보고저렴하다 편하다 같다사다 아직도자다 입다색도 들다바이럴 이라고 오해 받다 알다 사람 한테 얘기 언급 해주다 반갑다,,939,939,@mymunge
ට|니두,"웨이크메이크 휘핑톡틴트 4호 로즈휩 꼭 살 것.....
이름도 로즈휩이야...",2600,0,1만,"['웨이', '크다', '메이크', '휘핑톡', '틴트', '로즈휩', '이름', '로즈휩', '이야']",0,웨이 크다메이크 휘핑톡 틴트 로즈휩 이름로즈휩 이야,,939,939,@mymunge
ට|니두,"여름뮤트 블러셔랑 립•••. #이닏티디 

오에니르
-뮤티드 블러셔 05 피아 (차분라벤더)
-아워 글로우 립 15 윈디아 (•••. 갑자기 벅차서 할 말 다 까먹음 존예임 그냥ㅜ 여뮽분들 바른 거 실제로 보고싶다 ·̫)

아 그리고 립베이그 바른 것도 아닌데 탱글 명란립 되는 것도 만족ㅎ",729,0,1만,"['여름', '뮤트', '블러셔', '뮤티드', '블러셔', '피아', '라벤더', '로우', '윈디', '갑자기', '벅차다', '까먹다', '존예', '그냥', '분들', '바르다', '실제', '보다', '그리고', '베이', '바르다', '아니다', '명란', '되다', '만족', '#이닏티디']",0,여름 뮤트블러셔 뮤티드 블러셔피아 라벤더로우 윈디갑자기 벅차다 까먹다존예 그냥분들 바르다실제 보다그리고 베이바르다 아니다 명란 되다 만족 #이닏티디,0,939,939,@mymunge
ට|니두,"k브랜드가 말아주는
이런 누디한 탱글 글로스를 기다리고 있음...",427,0,1만,"['브랜드', '말다', '이렇다', '누디', '로스', '기다리다']",0,브랜드 말다이렇다 누디로스 기다리다,,939,939,@mymunge
ට|니두,"어바웃톤 베일피치 저한텐 이렇게 올라옴
저저번 카키 #이닏티디 초벌구이 때 실제랑 비슷하게 나온 사진이 남아있어서 올려봄미다,, 하라 얹기 전이라 색이 더 잘 보이는듭

첨엔 누디->덧바를수록 피치빛",534,0,1만,"['어바웃톤', '베일', '피치', '한텐', '이렇게', '올라오다', '저번', '카키', '초벌', '구이', '실제', '비슷하다', '나오다', '사진', '남다', '올리다', '밉다', '하라', '얹다', '전이', '자다', '보이다', '누디덧', '바르다', '피치', '#이닏티디']",0,어바웃톤 베일 피치 한텐 이렇게올라오다 저번 카키 초벌 구이 실제 비슷하다나오다 사진남다 올리다밉다 하라얹다 전이자다 보이다누디덧 바르다 피치 #이닏티디,0,939,939,@mymunge
zzle,"[효과 꾸준하게 느꼈던 것]
프로폴리스아연C (닥터아돌, 비헬스)
성분 : 프로폴리스, 아연, 비타민C
수술하고도 심해져서 진짜 무너질려고 할 때
역삼쪽에 비염으로 유명한 병원갔는데
그날부터 프로폴리스+아연+비타민c
매일 꾸준히 먹어보라고 하셨음",347,0,626,"['효과', '꾸준하다', '느끼다', '프로폴리스', '아연', '닥터', '비헬스', '성분', '프로폴리스', '아연', '비타민', '수술', '하고도', '심해지다', '진짜', '무너지다', '역삼', '비염', '유명하다', '병원', '가다', '그날', '프로폴리스', '아연', '비타민', '매일', '꾸준하다', '먹다', '보라']",1,효과 꾸준하다 느끼다 프로폴리스 아연 닥터 비헬스 성분 프로폴리스 아연 비타민 수술 하고도 심해지다 진짜 무너지다 역삼 비염 유명하다 병원 가다 그날 프로폴리스 아연 비타민 매일 꾸준하다 먹다 보라,1,939,939,@d1azz1e_
zzle,와 소고기는 입에 넣자마자 녹았고 아이스크림 육회는 콘이랑 같이 먹으니까 금상첨화였고...저 콘 안에 노른자 들어있음; 우우 하이볼도 죤니맛있었다...간만에 값진 식사를함,629,0,626,"['오다', '소고기', '넣다', '녹다', '아이스크림', '육회', '이랑', '같이', '먹다', '금상첨화', '고저', '노른자', '들다', '우우', '하이', '맛있다', '만에', '값지다', '식사']",1,오다 소고기 넣다 녹다 아이스크림 육회 이랑 같이 먹다 금상첨화 고저 노른자 들다 우우 하이 맛있다 만에 값지다 식사,1,939,939,@d1azz1e_
zzle,크라임씬 베르단디 진짜 몰입감 개미쳐버렸어요...구라안치고 하다가 울었음 걍 영화임 제발 진짜 꼭 해보세요...,1000,0,626,"['크라임씬', '베르단디', '진짜', '몰입', '개미', '치다', '버리다', '구르다', '울다', '영화', '제발', '진짜', '해보다']",1,크라임씬 베르단디 진짜 몰입 개미 치다 버리다 구르다 울다 영화 제발 진짜 해보다,1,939,939,@d1azz1e_
zzle,"내돈내산해서 썪어가는 피부 살려본썰
내가 죽을때까지는 절대 사라지면 안되는 4가지,,
다른덴 돈안씀 여기만 미친듯이 씀..ㅋㅋㅋㅋ",216,0,626,"['썪어가', '피부', '살리다', '보다', '써다', '까지는', '절대', '사라지다', '안되다', '가지', '다른', '쓰다', '여기', '미치다', '쓰다']",1,썪어가 피부 살리다 보다 써다 까지는 절대 사라지다 안되다 가지 다른 쓰다 여기 미치다 쓰다,1,939,939,@d1azz1e_
zzle,"[효과가 직빵인 약]
액티피드 정
성분 : 슈도에페드린염산염, 트리프롤리딘염산염수화
효과는 진짜 좋음 근데 잠이 너무옴
이거 수면제 대용으로 쓰는 사람도 있을 정도
컨디션 안좋을 때 먹으면 좀 어지러울 수 있음
이거 먹고 운전은 절대 하지말라고 함",213,0,626,"['효과', '직빵', '티피', '성분', '슈도', '에페', '드리다', '염산', '트리', '프롤리딘', '염산', '염수', '효과', '진짜', '좋다', '근데', '너무', '수면제', '대용', '쓰다', '사람', '정도', '컨디션', '안좋다', '먹다', '어지르다', '먹다', '운전', '절대']",1,효과 직빵 티피 성분 슈도 에페 드리다 염산 트리 프롤리딘 염산 염수 효과 진짜 좋다 근데 너무 수면제 대용 쓰다 사람 정도 컨디션 안좋다 먹다 어지르다 먹다 운전 절대,1,939,939,@d1azz1e_
zzle,"나 시트루 아르기닌 먹고 15~20kg 뺐는데 
처음 먹었을 때 특히 좋았던게 붓기 빠지는거.. 
몸이 가벼워졌다는 느낌이 일단 너무 좋았움 
참고로 나는 하루에 2번 먹었음!",153,0,626,"['트루', '아르기닌', '먹다', '빼다', '처음', '먹다', '특히', '좋다', '붓기', '빠지다', '가벼워지다', '느낌', '일단', '너무', '좋다', '참고', '하루', '먹다']",1,트루 아르기닌 먹다 빼다 처음 먹다 특히 좋다 붓기 빠지다 가벼워지다 느낌 일단 너무 좋다 참고 하루 먹다,1,939,939,@d1azz1e_
zzle,"당뇨 대표 증상이 
1) 아무리 먹어도 배고픔, 간식이 땡김 
2) 무기력함, 식곤증 이라는데 이것도 웬만큼 예민하지 않으면 못 느낄 확률이 높다고 합니다.. 그러니 제발 제 또래의 트친분들 젊다고 안심하지 말고 지금부터 관리하면서 가까운 보건소가서 혈당부터 체크해보세요",1200,0,626,"['당뇨', '대표', '증상', '아무리', '먹다', '배고프다', '간식', '땡기다', '무기', '식곤증', '이르다', '웬만큼', '예민하다', '않다', '느끼다', '확률', '높다', '그렇다', '제발', '또래', '트친', '분들', '젊다', '안심', '말고', '지금', '관리', '가깝다', '보건소', '가다', '혈당', '체크', '해보다']",1,당뇨 대표 증상 아무리 먹다 배고프다 간식 땡기다 무기 식곤증 이르다 웬만큼 예민하다 않다 느끼다 확률 높다 그렇다 제발 또래 트친 분들 젊다 안심 말고 지금 관리 가깝다 보건소 가다 혈당 체크 해보다,1,939,939,@d1azz1e_
zzle,"나진짜 이거에대해 할말 너무많은데.. 예전에 이중세안 잘못해서 피부뒤집어 진적 있는데 그때 날 구원해줌 ㅜ
이중세안 안해도 화장 다 지워지고 세수하고나서도 촉촉함 그 이후로 얘만씀ㅁ..
그리고 곤약스펀지 꼭 쓰는거 추천.. 자극 하나도 없고 메이크업 깔끔하게 싹 지워짐..",46,0,626,"['진짜', '대해', '너무', '많다', '예전', '이중', '세안', '잘못', '피부', '뒤지다', '그때', '구원', '해주다', '이중', '세안', '안해', '화장', '지워지다', '세수', '촉촉하다', '이후', '쓰다', '그리고', '곤약', '스펀지', '쓰다', '추천', '자극', '하나', '없다', '메이크업', '깔끔하다', '지워지다']",1,진짜 대해 너무 많다 예전 이중 세안 잘못 피부 뒤지다 그때 구원 해주다 이중 세안 안해 화장 지워지다 세수 촉촉하다 이후 쓰다 그리고 곤약 스펀지 쓰다 추천 자극 하나 없다 메이크업 깔끔하다 지워지다,1,939,939,@d1azz1e_
zzle,"팔공티 존맛 메뉴 2개 추천 
스트로베리 프룻티 치즈&애플망고 블렌디드",57,0,626,"['존맛', '메뉴', '추천', '스트로베리', '프룻티', '치즈', '애플', '망고', '블렌디드']",1,존맛 메뉴 추천 스트로베리 프룻티 치즈 애플 망고 블렌디드,1,939,939,@d1azz1e_
zzle,"엄마랑 같이 먹으면 좋은 영양제 추천함~~

내가 여름때 질염이 너무 심해서 먹기 시작했는데
엄마도 먹고 싶어하셔 가지고 같이 먹었거든?
난 질염 낫고 엄마는 질건조증 나으셨음,,,",29,0,626,"['엄마', '같이', '먹다', '좋다', '양제', '추천', '여름', '질염', '너무', '심하다', '먹기', '시작', '엄마', '먹다', '싶다', '가지', '같이', '먹다', '질염', '엄마', '지다', '조증', '낫다']",1,엄마 같이 먹다 좋다 양제 추천 여름 질염 너무 심하다 먹기 시작 엄마 먹다 싶다 가지 같이 먹다 질염 엄마 지다 조증 낫다,1,939,939,@d1azz1e_
zzle,"1.대방어
https://smartstore.naver.com/luxury-suamall/products/9454517494…
-유튭 수아아빠로 유명하신분이 하는곳임
대방어 때문에 겨울 기다리는 사람도 많다고 하는데
손질까지 싹 다 해주고 주고 가격도 1/2수준이라
비싸게 먹지말고 여기서 시키면 개이득",24,0,626,"['방어', '유튭', '수아', '아빠', '유명하다', '신분', '곳임', '방어', '때문', '겨울', '기다리다', '사람', '많다', '손질', '해주다', '주다', '가격', '수준', '이라', '비싸다', '먹다', '여기', '시키다', '개이득']",1,방어 유튭 수아 아빠 유명하다 신분 곳임 방어 때문 겨울 기다리다 사람 많다 손질 해주다 주다 가격 수준 이라 비싸다 먹다 여기 시키다 개이득,1,939,939,@d1azz1e_
zzle,"비염 심한 사람들 공통적으로 코 안이 부어서
막혀있는 느낌인데,,
이거 먹으면 점막 붓기가 빠지는 느낌
두통이랑, 불면증, 다크써클도 덜해짐
싼 것도 먹어봤는데 차이가 좀 있음ㅜ",11,0,626,"['비염', '심하다', '사람', '공통', '안이', '부어', '막히다', '느낌', '먹다', '점막', '붓기', '빠지다', '느낌', '두통', '이랑', '불면증', '다크', '써클', '덜하다', '싸다', '먹다', '보다', '차이']",1,비염 심하다 사람 공통 안이 부어 막히다 느낌 먹다 점막 붓기 빠지다 느낌 두통 이랑 불면증 다크 써클 덜하다 싸다 먹다 보다 차이,1,939,939,@d1azz1e_
zzle,"소유가 알려주는 얼굴 광나는 나이트케어 루틴 
랩핑마스크랑 레몬청 클렌저 너무 탐난다..",23,0,626,"['소유', '알다', '얼굴', '광나', '나이트', '케어', '루틴', '랩핑', '마스크', '레몬', '클렌저', '너무', '타다', '나다']",1,소유 알다 얼굴 광나 나이트 케어 루틴 랩핑 마스크 레몬 클렌저 너무 타다 나다,1,939,939,@d1azz1e_
zzle,"[효과는 있는데 쓰기 무서운 것]
나잘스프레이 종류(옴나니스, 나조넥스)
성분 : 스테로이드
이건 처방 받아야 살수 있는데 뿌리고 7시간 정도 이후에
효과 나고 오래 걸리는 사람은 2주뒤부터 효과나타남
혈관을 자극하는 성분이 많고 임산부나 아이들은 절대 사용",87,0,626,"['효과', '쓰기', '무섭다', '나다', '스프레이', '종류', '니스', '넥스', '성분', '스테로이드', '이건', '처방', '받다', '살수', '뿌리', '시간', '정도', '이후', '효과', '나다', '오래', '걸리다', '사람', '효과', '나타남', '혈관', '자극', '성분', '많다', '임산부', '아이', '절대', '사용']",1,효과 쓰기 무섭다 나다 스프레이 종류 니스 넥스 성분 스테로이드 이건 처방 받다 살수 뿌리 시간 정도 이후 효과 나다 오래 걸리다 사람 효과 나타남 혈관 자극 성분 많다 임산부 아이 절대 사용,1,939,939,@d1azz1e_
zzle,필름 잘 못 붙여서 먼지랑 기포 끼시는 분들은 주저말고 이거 쓰세요. 이것도 샤론6 껀데 이지필름이라고 2초만에 잔기포 없이 한번에 붙어요 심지어 강화유리 이런거는 나라에서 하나씩 줘야되는거아닌지https://cpdbr2.cafe24.com/product/%EC%83%A4%EB%A1%A06-%EC%95%84%EC%9D%B4%ED%8F%B0-%ED%92%80%EC%BB%A4%EB%B2%84-3d-%EA%B0%95%ED%99%94%EC%9C%A0%EB%A6%AC-%ED%95%84%EB%A6%84/29/category/28/display/1/…,52,0,626,"['필름', '자다', '붙이다', '먼지', '끼다', '주저', '말고', '쓸다', '샤론', '껀데', '필름', '이라고', '만에', '자다', '없이', '한번', '붙다', '심지어', '강화유리', '이런', '나라', '하나', '주다', '되다', '닌지']",1,필름 자다 붙이다 먼지 끼다 주저 말고 쓸다 샤론 껀데 필름 이라고 만에 자다 없이 한번 붙다 심지어 강화유리 이런 나라 하나 주다 되다 닌지,1,939,939,@d1azz1e_
zzle,"2.쌀밥끊기
당뇨 있는 사람은 귀리나 곡물처럼 정제 안 된 위주로 탄수화물 챙겨먹어야 합니다.. 밀가루, 쌀밥같이 정제된 것들은 혈당을 한순간에 확 올리는 지름길이라;ㅠㅠ다른 사람들 식단 구경하니 귀리밥 이런거 매일 해먹던데 솔직히 그렇게는 못하겠고 쿠ㅍ에서 그냥 저당도시락 사서 먹었어요",98,0,626,"['쌀밥', '끊기다', '당뇨', '사람', '귀리', '곡물', '처럼', '정제', '되다', '위주', '탄수화물', '챙기다', '먹다', '밀가루', '쌀밥', '같이', '정제', '되다', '혈당', '한순간', '올리다', '지름길', '이라', '다른', '사람', '식단', '구경', '귀리', '이렇다', '매일', '해먹', '던데', '솔직하다', '그렇다', '그냥', '도시락', '사서', '먹다']",1,쌀밥 끊기다 당뇨 사람 귀리 곡물 처럼 정제 되다 위주 탄수화물 챙기다 먹다 밀가루 쌀밥 같이 정제 되다 혈당 한순간 올리다 지름길 이라 다른 사람 식단 구경 귀리 이렇다 매일 해먹 던데 솔직하다 그렇다 그냥 도시락 사서 먹다,1,939,939,@d1azz1e_
zzle,"슈퍼세일 구경하고있는데 미쳤다 ㅅㅂ

펩시콜라 제로슈거 라임향 1.25Lx12개
16,000원 > 11,900원
미미네 오리지널 국물떡볶이
16,900원 > 12,900원

살거 존내많음",36,0,626,"['슈퍼', '구경', '미치다', '펩시콜라', '제로', '슈거', '라임', '미미', '리지', '국물', '떡볶이', '살다', '존내', '많다']",1,슈퍼 구경 미치다 펩시콜라 제로 슈거 라임 미미 리지 국물 떡볶이 살다 존내 많다,1,939,939,@d1azz1e_
zzle,"3.식초
식초가 혈당 낮춘다고 하더라구요? 몇번 도전하다가 도저히 그냥 못 먹겠어서 중도포기했었는데요.. 우연히 의사 유튜브보다가 식초 안에 OA추출물 성분 때문에 혈당 관리에 유명하다는 걸 알게 됐어요. 검색했을 때 리뷰가 제일 많기도 하고 후기사진도 다 사실적이길래 믿고 먹기 시작했어요",552,0,626,"['식초', '식초', '혈당', '낮추다', '몇번', '도전', '도저히', '그냥', '먹다', '중도', '포기', '우연히', '의사', '유튜브', '보다', '가다', '식초', '추출', '성분', '때문', '혈당', '관리', '유명하다', '돼다', '검색', '리뷰', '제일', '많다', '후기', '사진', '사실', '이기다', '믿다', '먹기', '시작']",1,식초 식초 혈당 낮추다 몇번 도전 도저히 그냥 먹다 중도 포기 우연히 의사 유튜브 보다 가다 식초 추출 성분 때문 혈당 관리 유명하다 돼다 검색 리뷰 제일 많다 후기 사진 사실 이기다 믿다 먹기 시작,1,939,939,@d1azz1e_
zzle,"샵갔다가 추천받은건데
흡수 디따 빠르고 끈적임 없어서 기초로 쓰기 조음
샵에서 받은 샘플 쓰다가 얼마전에 본품도 삿어요..
화장 개잘먹고 굿굿",16,0,626,"['가다', '추천', '받다', '흡수', '따다', '빠르다', '적임', '없다', '기초', '쓰기', '조음', '받다', '샘플', '쓰다', '얼마', '삿어', '화장', '개다', '먹다', '굿굿']",1,가다 추천 받다 흡수 따다 빠르다 적임 없다 기초 쓰기 조음 받다 샘플 쓰다 얼마 삿어 화장 개다 먹다 굿굿,1,939,939,@d1azz1e_
zzle,"ㅍㅌㅌㅅ 옐로우임,,,!
이거 질유산균인데 왜 좋냐면
질에는 수많은 미생물이 사는데
세균과 질유산균이 뒤섞여 있음
세균이 많아지거나 침입하면 질염에 걸림,,,

세균을 억제시켜주는 게 질 유산균이기 때문에
미리 먹어줘서 세균 번식을 막아내는 거라고 보면 됨",6,0,626,"['옐로우', '유산균', '좋다', '에는', '수많다', '미생물', '살다', '세균', '유산균', '섞이다', '세균', '많아지다', '침입', '질염', '걸리다', '세균', '억제시키다', '유산균', '이기', '때문', '미리', '먹어주다', '세균', '번식', '막다', '보다', '되다']",1,옐로우 유산균 좋다 에는 수많다 미생물 살다 세균 유산균 섞이다 세균 많아지다 침입 질염 걸리다 세균 억제시키다 유산균 이기 때문 미리 먹어주다 세균 번식 막다 보다 되다,1,939,939,@d1azz1e_
zzle,"속건조 심하고 생리전 트러블 엄청 올라올 때 좋음
후기처럼 피부 개선효과 쌉빠름
2주정도 먹었을때부터 효과 보임
뭔가 쫀쫀하고 촉촉해진 느낌 + 화장 겁나 잘먹음
턱에 붉은 여드름, 잔잔한 트러블 금방 잡히는 느낌",4,0,626,"['건조', '심하다', '생리', '트러블', '엄청', '올라오다', '좋다', '후기', '처럼', '피부', '개선', '효과', '싸다', '빠르다', '주정', '먹다', '효과', '보임', '뭔가', '쫀쫀', '하고', '촉촉하다', '느낌', '화장', '겁나다', '먹다', '붉다', '여드름', '잔잔하다', '트러블', '금방', '잡히다', '느낌']",1,건조 심하다 생리 트러블 엄청 올라오다 좋다 후기 처럼 피부 개선 효과 싸다 빠르다 주정 먹다 효과 보임 뭔가 쫀쫀 하고 촉촉하다 느낌 화장 겁나다 먹다 붉다 여드름 잔잔하다 트러블 금방 잡히다 느낌,1,939,939,@d1azz1e_
zzle,"솔직히 이름듣고는 사짜느낌 작살이라 믿음이 잘 안갔지만
후기가 너무 좋아서 쓰기 시작함
흉터가 사라진다는 얘기는 오바쎄바이지만
다른 크림대비 트러블 거의 안나고 피부결 부드러워짐
끈적임보다는 촉촉한 느낌이 훨씬 강함
호불호는 조금 있지만 효과본사람은 극강으로 보는편",5,0,626,"['솔직하다', '이름', '듣다', '느낌', '작살', '이라', '믿음', '자다', '가다', '후기', '너무', '좋다', '쓰기', '시작', '흉터', '사라지다', '얘기', '쎄다', '바이지', '다른', '크림', '대비', '트러블', '거의', '안나', '피부', '부드럽다', '적임', '보다는', '촉촉하다', '느낌', '훨씬', '강하다', '호불호', '조금', '효과', '사람', '보다']",1,솔직하다 이름 듣다 느낌 작살 이라 믿음 자다 가다 후기 너무 좋다 쓰기 시작 흉터 사라지다 얘기 쎄다 바이지 다른 크림 대비 트러블 거의 안나 피부 부드럽다 적임 보다는 촉촉하다 느낌 훨씬 강하다 호불호 조금 효과 사람 보다,1,939,939,@d1azz1e_
zzle,"조금만 뭐 올라온다 싶으면 세수하고 나서 무조건함
에센스양도 푸짐하고 진정효과 쩔어줌
사철쑥추출물50%인데 이거 하고 나서부터는
피부 당기는 느낌이 전혀 없음
피부결 정돈이랑 열감 낮추기, 진정효과 개굿
양많아서 휘뚜루마뚜루 쓰기 좋음",4,0,626,"['조금', '올라오다', '싶다', '세수', '하고', '나서다', '무조건', '에센스', '양도', '푸다', '하고', '진정', '효과', '쩔다', '사철', '추출', '나서다', '피부', '당기다', '느낌', '전혀', '없다', '피부', '정돈', '이랑', '낮추다', '진정', '효과', '개굿', '많다', '휘뚜루마뚜루', '쓰기', '좋다']",1,조금 올라오다 싶다 세수 하고 나서다 무조건 에센스 양도 푸다 하고 진정 효과 쩔다 사철 추출 나서다 피부 당기다 느낌 전혀 없다 피부 정돈 이랑 낮추다 진정 효과 개굿 많다 휘뚜루마뚜루 쓰기 좋다,1,939,939,@d1azz1e_
